detalhe_incidente;tipo_incidente;detalhe_limpo
criação novo botão onde usuário poder retirar devolver cancelar operação relativo oqc devolutiva dever status sucesso falha operação pm gmt northon melo integração procedur retirada devolução aparelho oqc posto embalagem sisap oqc integração procedur posto embalgem;Melhorias;criação novo botão onde poder retirar devolver cancelar operação relativo oqc devolutiva dever status sucesso falha operação gmt northon melo integração procedur retirada devolução aparelho oqc embalagem oqc integração procedur embalgem
durante registro defeito posto técnico apesar operador selecionar posição correto valor código item enviar não corresponder posição selecionar ocasionar problema registrar defeito sisap posto técnico código item gravar valor errar;Corretiva;durante registro defeito técnico apesar operador selecionar posição correto valor código item enviar corresponder posição selecionar ocasionar registrar defeito técnico código item gravar valor errar
criação estrutura assinatura aprovação processo scm cada processo possuir grupo aprovador cada dever enviar parecer negativo positivo aprovação vez encerrar processo todo assinatura ser recolhir homologar seguir fluxo tipo processo pp psi scm assinatura aprovação processo;Melhorias;criação estrutura assinatura aprovação processo scm cada processo possuir grupo aprovador cada dever enviar parecer negativo positivo aprovação vez encerrar processo todo assinatura recolhir homologar seguir fluxo tipo processo psi scm assinatura aprovação processo
adaptar posto oba realização inspeção aparelho posto inline conter opção linha posto além grupo teste subteste específico processo oqc inline sisap adaptação posto oba inspeção inlinir;Melhorias;adaptar oba realização inspeção aparelho inline conter opção além grupo teste subteste específico processo oqc inline adaptação oba inspeção inlinir
detectar ausência algum registro passagem defeito iot sisap começar apenas ocorrer demais linha iot ausencia registro iot posto sisap;Corretiva;detectar ausência algum registro passagem defeito iot começar apenas ocorrer demais iot ausencia registro iot
produção documentação inspeção oqc inlinir conter passo passo desde processo retirada produto embalagem passar setup coleta devolução produto documentação inspeção oqc inline manual usuário;Melhorias;produção documentação inspeção oqc inlinir conter passo passo desde processo retirada produto embalagem passar setup coleta devolução produto documentação inspeção oqc inline manual
implementação manutenção módulo inspeção confiabilidade conter funcionalidade semelhante oba oqc porém algum detalhe tipo inspeção determinar quantidade hora processo mp hora tp hora lp hora dever exibir tamber progresso inspeção além relatório conter serial inspecionado data entrada saída liberação sisap módulo confiabilidade;Melhorias;implementação manutenção módulo inspeção confiabilidade conter funcionalidade semelhante oba oqc porém algum detalhe tipo inspeção determinar quantidade hora processo hora hora hora dever exibir tamber progresso inspeção além relatório conter serial inspecionado data entrada saída liberação módulo confiabilidade
algum defeito placa iac ser registrar sem posição mecânico descrição modelo próprio placo interferir relatório análise dado sisap defeito iac defeito sem posição ne serial placa;Corretiva;algum defeito placa iac registrar posição mecânico descrição modelo próprio placo interferir relatório análise defeito iac defeito posição serial placa
disponível versão sisap homolog conter featur inclusão aparelho Evap cond relatório produção diário x programa pequeno bugfix bo relatório produção deslocar chave linha abaixo aplicação sisap homolog versão local rede captura tela captura tela sisap homolog deploy versão nº;Melhorias;disponível versão homolog conter featur inclusão aparelho evap cond relatório produção diário programa pequeno relatório produção deslocar chave abaixo aplicação homolog versão local rede captura tela captura tela homolog deploy versão
implementação tela cadastro ponto modelo iac dentro detalhamento ordem alimentação sipap cadastro ponto ordem alimentação;Melhorias;implementação tela cadastro ponto modelo iac dentro detalhamento ordem alimentação sipap cadastro ponto ordem alimentação
modificação forma obter ponto modelo iac relatório produção valor agora dever buscar novo tabela caso não encontrar calcular rotina atual procedure sisap alteração cálculo ponto relatório produção iac;Melhorias;modificação forma obter ponto modelo iac relatório produção valor agora dever buscar novo tabela caso encontrar calcular rotina atual procedure alteração cálculo ponto relatório produção iac
